YEAR,MONTH,T-Bill,US Equity,Foreign EQ,Emerging EQ,US Bond,Foreign Bond,HY Bond,Commodity,Real Estate,Hedge Fund
2009,6,0.0001,0.0043,-0.0055,-0.0134,0.0056,0.002,0.0299,0.0056,-0.0248,0.0024
2009,7,0.0001,0.0772,0.0913,0.1131,0.016,0.0208,0.0599,0.0043,0.1017,0.0249
2009,8,0.0001,0.0333,0.0544,-0.0034,0.0103,0.0217,0.0203,-0.0238,0.1221,0.0129
2009,9,0.0001,0.0408,0.0384,0.0908,0.0104,0.0275,0.0583,0.0016,0.0636,0.0278
2009,10,0,-0.0259,-0.0124,0.0013,0.0049,0.001,0.0173,0.0587,-0.048,-0.002
2009,11,0,0.0556,0.0203,0.043,0.0129,0.0365,0.01,0.0152,0.0684,0.0152
2009,12,0.0001,0.0275,0.0144,0.0395,-0.0157,-0.056,0.0299,0.0085,0.0642,0.0127
2010,1,0,-0.0336,-0.044,-0.0556,0.0153,-0.0011,0.015,-0.0789,-0.0468,-0.0076
2010,2,0,0.034,-0.0068,0.0037,0.0037,0.0022,0.0008,0.0556,0.0506,0.0066
2010,3,0.0001,0.0631,0.063,0.0807,-0.0013,-0.0176,0.0321,0.0193,0.0941,0.0248
2010,4,0.0001,0.02,-0.0174,0.0122,0.0103,-0.0065,0.0217,0.0276,0.0657,0.0118
2010,5,0.0001,-0.0789,-0.1138,-0.0876,0.0083,-0.0206,-0.0345,-0.132,-0.0533,-0.029
2010,6,0.0001,-0.0556,-0.0098,-0.0073,0.0156,0.0171,0.0133,0.0041,-0.0454,-0.0096
2010,7,0.0001,0.0693,0.0948,0.0839,0.0106,0.047,0.0345,0.0562,0.0898,0.016
2010,8,0.0001,-0.0477,-0.031,-0.0192,0.0128,0.0193,0.0023,-0.0553,-0.0141,-0.0014
2010,9,0.0001,0.0954,0.0981,0.1112,0.001,0.0335,0.0292,0.0848,0.0445,0.0347
2010,10,0.0001,0.0388,0.0361,0.029,0.0035,0.0195,0.0236,0.0255,0.0455,0.0213
2010,11,0.0001,0.006,-0.048,-0.0265,-0.0058,-0.0601,-0.0112,0.0107,-0.0163,0.0018
2010,12,0.0001,0.0682,0.081,0.0714,-0.0109,0.0305,0.0171,0.0939,0.0466,0.0294
2011,1,0.0001,0.0199,0.0236,-0.027,0.0011,-0.0005,0.0207,0.0304,0.0363,0.004
2011,2,0.0001,0.0349,0.0331,-0.0093,0.0024,0.0051,0.0131,0.0374,0.0448,0.0122
2011,3,0.0001,0.0045,-0.0221,0.0589,0.0005,0.0047,0.004,0.0434,-0.0139,0.0005
2011,4,0,0.029,0.0608,0.0312,0.0127,0.0405,0.0148,0.0441,0.0489,0.0148
2011,5,0,-0.0127,-0.0281,-0.0258,0.0131,-0.0073,0.0052,-0.0689,0.0084,-0.012
2011,6,0,-0.0175,-0.0123,-0.015,-0.0029,0.0037,-0.0098,-0.0531,-0.0268,-0.0118
2011,7,0,-0.0236,-0.0157,-0.0038,0.0159,0.0257,0.012,0.0243,0.0039,0.0023
2011,8,0.0001,-0.0599,-0.0903,-0.0891,0.0145,0.0175,-0.039,-0.0185,-0.0507,-0.0322
2011,9,0,-0.0759,-0.095,-0.1456,0.0073,-0.0342,-0.0353,-0.1217,-0.1041,-0.0389
2011,10,0,0.1135,0.0965,0.1326,0.0011,0.0115,0.0588,0.0975,0.1331,0.0269
2011,11,0,-0.0028,-0.0483,-0.0666,-0.0009,-0.0218,-0.0216,0.0142,-0.0353,-0.0135
2011,12,0,0.0074,-0.0094,-0.012,0.011,0.0078,0.0249,-0.0211,0.0455,-0.0045
2012,1,0,0.0505,0.0535,0.1136,0.0088,0.0199,0.0283,0.0223,0.0647,0.0278
2012,2,0,0.0442,0.0577,0.0601,-0.0002,-0.0105,0.0226,0.0606,-0.0066,0.0206
2012,3,0,0.0311,-0.004,-0.0333,-0.0055,-0.0111,-0.001,-0.0235,0.0439,-0.0018
2012,4,0,-0.0085,-0.0184,-0.0117,0.0111,0.0157,0.0103,-0.0051,0.028,-0.0051
2012,5,0.0001,-0.0619,-0.1136,-0.1117,0.0089,-0.0145,-0.0117,-0.1299,-0.0396,-0.0262
2012,6,0,0.0389,0.0705,0.0391,0.0004,0.0029,0.02,0.012,0.0588,0.0029
2012,7,0,0.0079,0.0115,0.0202,0.0138,0.0113,0.0196,0.0637,0.023,0.0087
2012,8,0.0001,0.0255,0.0269,-0.003,0.0006,0.0099,0.0117,0.0636,0.0045,0.0081
2012,9,0.0001,0.0273,0.0298,0.0604,0.0013,0.0184,0.0135,-0.0143,-0.009,0.013
2012,10,0.0001,-0.0176,0.0083,-0.0061,0.0019,-0.0081,0.0086,-0.0408,-0.0034,-0.0039
2012,11,0.0001,0.0078,0.0242,0.0127,0.0015,-0.0047,0.0071,0.0147,-0.0065,0.004
2012,12,0.0001,0.0118,0.032,0.0489,-0.0015,-0.0114,0.0156,-0.0066,0.0319,0.0143
2013,1,0,0.0557,0.0529,0.0139,-0.007,-0.0167,0.0135,0.0436,0.0428,0.0251
2013,2,0,0.0129,-0.0092,-0.0124,0.005,-0.0183,0.0047,-0.0439,0.0129,0.0011
2013,3,0,0.0403,0.0088,-0.017,0.0008,-0.0047,0.0099,0.0077,0.0329,0.0095
2013,4,0,0.0155,0.0533,0.0079,0.0101,0.0108,0.019,-0.0473,0.058,0.0063
2013,5,0,0.028,-0.0231,-0.0252,-0.0178,-0.0417,-0.0055,-0.0149,-0.0656,0.0048
2013,6,0,-0.012,-0.0353,-0.0632,-0.0155,-0.0046,-0.0268,0.0023,-0.0228,-0.0147
2013,7,0,0.0565,0.0528,0.011,0.0014,0.0187,0.0191,0.0491,0.0053,0.013
2013,8,0,-0.0271,-0.0131,-0.0168,-0.0051,-0.0034,-0.0061,0.0338,-0.0623,-0.007
2013,9,0,0.0377,0.0742,0.0653,0.0095,0.0256,0.0101,-0.0339,0.0355,0.0158
2013,10,0,0.0418,0.0336,0.0487,0.0081,0.0109,0.0246,-0.0144,0.0406,0.0151
2013,11,0,0.0312,0.0078,-0.0145,-0.0037,-0.015,0.0043,-0.0078,-0.0441,0.0089
2013,12,0,0.0281,0.0151,-0.0144,-0.0057,-0.0097,0.0057,0.0193,0.0084,0.0105
2014,1,0,-0.0332,-0.0402,-0.0647,0.0148,0.0134,0.0074,-0.0164,0.0338,-0.0054
2014,2,0,0.0465,0.0559,0.0333,0.0053,0.018,0.0201,0.0451,0.0469,0.0197
2014,3,0,0.0043,-0.0057,0.0309,-0.0017,-0.0007,0.0022,0.0014,0.0032,-0.0029
2014,4,0,-0.0019,0.0153,0.0037,0.0084,0.0135,0.0066,0.0074,0.0288,-0.0022
2014,5,0,0.0206,0.0176,0.0351,0.0114,0.0028,0.0096,-0.0018,0.0276,0.0092
2014,6,0,0.0261,0.0099,0.027,0.0005,0.0116,0.0085,0.0212,0.0118,0.013
2014,7,0,-0.0204,-0.0196,0.0202,-0.0025,-0.0123,-0.0133,-0.053,-0.0019,-0.0063
2014,8,0,0.0424,-0.0015,0.0229,0.011,0.0022,0.0151,-0.0164,0.0338,0.0125
2014,9,0,-0.0197,-0.0381,-0.0739,-0.0068,-0.0437,-0.0207,-0.0602,-0.0563,-0.0092
2014,10,0,0.0252,-0.0145,0.0119,0.0098,-0.0077,0.0116,-0.0598,0.0872,-0.004
2014,11,0,0.0255,0.0137,-0.0105,0.0071,-0.0145,-0.0075,-0.1092,0.023,0.0078
2014,12,0,-0.0006,-0.0344,-0.0456,0.0009,-0.0091,-0.0145,-0.1363,0.0109,-0.0023
2015,1,0,-0.0311,0.005,0.0061,0.021,-0.0102,0.0068,-0.075,0.0559,-0.0004
2015,2,0,0.0613,0.0599,0.0311,-0.0094,-0.0106,0.0234,0.0647,-0.0258,0.0188
2015,3,0,-0.0112,-0.0143,-0.014,0.0046,-0.0166,-0.0049,-0.0681,0.0115,0.0037
2015,4,0,0.0059,0.0416,0.0772,-0.0036,0.0177,0.0121,0.1106,-0.0471,0.0095
2015,5,0,0.0136,-0.004,-0.0399,-0.0024,-0.0326,0.0028,-0.0199,-0.0011,0.0059
2015,6,0,-0.0153,-0.028,-0.0252,-0.0109,0.0009,-0.0151,-0.0011,-0.0432,-0.0123
2015,7,0,0.0154,0.0208,-0.0687,0.007,-0.0001,-0.0059,-0.141,0.0485,-0.0051
2015,8,0,-0.0604,-0.0735,-0.0901,-0.0014,0.0053,-0.0176,0.003,-0.0568,-0.0239
2015,9,0,-0.0308,-0.0504,-0.0297,0.0068,0.0085,-0.0259,-0.0633,0.0187,-0.0138
2015,10,0,0.0775,0.0782,0.0714,0.0002,0.0029,0.0275,0.0023,0.0614,0.0173
2015,11,0,0.0056,-0.0154,-0.0389,-0.0026,-0.0271,-0.0222,-0.0897,-0.0026,0.0016
2015,12,0.0001,-0.0217,-0.0134,-0.0218,-0.0033,0.0138,-0.0256,-0.0864,0.0118,-0.0116
2016,1,0.0001,-0.0577,-0.0723,-0.0649,0.0137,0.0079,-0.0161,-0.0518,-0.0349,-0.0261
2016,2,0.0002,-0.0007,-0.0182,-0.0017,0.0069,0.0419,0.0048,-0.0203,-0.0031,-0.0005
2016,3,0.0002,0.0696,0.0657,0.1324,0.009,0.0366,0.0437,0.0491,0.0997,0.0206
2016,4,0.0001,0.0092,0.0299,0.0055,0.0037,0.0231,0.0394,0.1013,-0.0167,0.0102
2016,5,0.0001,0.0178,-0.0079,-0.0372,0.0002,-0.0239,0.0067,0.0221,0.0233,0.0036
2016,6,0.0002,-0.0005,-0.0334,0.0408,0.0178,0.0488,0.0105,0.0006,0.0666,0.0039
2016,7,0.0002,0.0395,0.0506,0.0507,0.0061,0.0049,0.025,-0.0959,0.0385,0.0186
2016,8,0.0002,0.005,0.0006,0.025,-0.0013,-0.0105,0.0223,0.0175,-0.033,0.0041
2016,9,0.0002,0.0025,0.0125,0.013,-0.0008,0.0111,0.0063,0.0412,-0.0143,0.0063
2016,10,0.0002,-0.0202,-0.0206,0.0023,-0.0078,-0.0461,0.0028,-0.0152,-0.0491,-0.0061
2016,11,0.0001,0.0486,-0.0199,-0.0461,-0.0238,-0.0585,-0.0041,0.0252,-0.0205,0.0076
2016,12,0.0003,0.0182,0.0341,0.0026,0.0011,-0.0126,0.0192,0.0469,0.0417,0.0098
