YEAR,MONTH,T-Bill,US Equity,Foreign EQ,Emerging EQ,US Bond,Foreign Bond,HY Bond,Commodity,Real Estate,Hedge Fund
1993,1,0.0023,0.0093,-0.0021,0.0025,0.0169,0.0111,0.0217,0.0098,0.0614,0.0209
1993,2,0.0022,0.0012,0.0283,0.0146,0.0153,0.01,0.0167,0.0094,0.0449,0.0112
1993,3,0.0025,0.023,0.085,0.0306,0.0017,0.0224,0.0154,0.0183,0.0669,0.0281
1993,4,0.0024,-0.0305,0.0928,0.0206,0.0046,0.0269,0.0048,-0.0131,-0.0465,0.0125
1993,5,0.0022,0.0289,0.0192,0.0257,-0.0009,0.0153,0.0113,-0.03,-0.0144,0.0238
1993,6,0.0025,0.0031,-0.0179,0.0272,0.0156,-0.021,0.0163,-0.0338,0.0268,0.0237
1993,7,0.0024,-0.0034,0.0328,0.024,0.0033,-0.0118,0.0081,-0.011,0.0145,0.0185
1993,8,0.0025,0.0371,0.0517,0.0819,0.015,0.0377,0.0073,0.0057,0.0215,0.0268
1993,9,0.0026,-0.0012,-0.0249,0.034,0.0001,0.0166,0.0023,-1E-04,0.043,0.0132
1993,10,0.0022,0.0141,0.0288,0.0875,0.0015,-0.0062,0.0161,-0.0381,-0.0148,0.0296
1993,11,0.0025,-0.0189,-0.0897,0.0418,-0.011,-0.0121,0.0035,-0.0526,-0.0498,-0.001
1993,12,0.0023,0.0165,0.0701,0.163,0.0031,0.0138,0.0077,-0.0211,-0.0026,0.0368
1994,1,0.0025,0.0287,0.0823,0.0157,0.011,0.0066,0.0194,0.0789,0.0274,0.0225
1994,2,0.0021,-0.0255,-0.0047,-0.0199,-0.0195,-0.0068,-0.0093,-0.0238,0.0323,-0.0076
1994,3,0.0027,-0.0478,-0.0456,-0.0932,-0.0274,0.0053,-0.0353,-0.0146,-0.043,-0.0178
1994,4,0.0027,0.0068,0.04,-0.0227,-0.0107,0.0036,-0.0178,0.0235,0.0135,-0.0086
1994,5,0.0031,0.0058,-0.0086,0.0311,-0.0032,-0.017,-0.0033,0.0118,0.0172,0.0037
1994,6,0.0031,-0.0303,0.0113,-0.0307,-0.0053,0.0175,0.0006,0.0215,-0.0248,-0.0004
1994,7,0.0028,0.0282,0.007,0.0594,0.0171,0.0036,0.0037,0.0144,-0.0053,0.0107
